Site,Parameter,Date..LT.,Year,Month,Day,Hour,NowCast.Conc.,AQI,AQI.Category,Raw.Conc.,Conc..Unit,Duration,QC.Name
Lima,PM2.5 - Principal,2020-03-01 12:00 AM,2020,3,1,0,19.9,67,Moderate,20,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 01:00 AM,2020,3,1,1,20.9,70,Moderate,22,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 02:00 AM,2020,3,1,2,21.3,70,Moderate,22,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 03:00 AM,2020,3,1,3,20.8,69,Moderate,20,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 04:00 AM,2020,3,1,4,17.7,63,Moderate,14,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 05:00 AM,2020,3,1,5,17,61,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 06:00 AM,2020,3,1,6,14.9,57,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 07:00 AM,2020,3,1,7,14.1,55,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 08:00 AM,2020,3,1,8,13.6,54,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 09:00 AM,2020,3,1,9,15.9,59,Moderate,19,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 10:00 AM,2020,3,1,10,15.1,57,Moderate,14,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 11:00 AM,2020,3,1,11,17.9,63,Moderate,22,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 12:00 PM,2020,3,1,12,12.7,52,Moderate,7,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 01:00 PM,2020,3,1,13,11.3,47,Good,10,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 02:00 PM,2020,3,1,14,12.1,51,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 03:00 PM,2020,3,1,15,12,50,Good,12,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 04:00 PM,2020,3,1,16,9.5,40,Good,7,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 05:00 PM,2020,3,1,17,10.7,45,Good,12,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 06:00 PM,2020,3,1,18,13.3,54,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 07:00 PM,2020,3,1,19,16.1,59,Moderate,19,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 08:00 PM,2020,3,1,20,20.5,69,Moderate,25,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 09:00 PM,2020,3,1,21,20.2,68,Moderate,20,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 10:00 PM,2020,3,1,22,20.6,69,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-01 11:00 PM,2020,3,1,23,20.8,69,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 12:00 AM,2020,3,2,0,17.9,63,Moderate,15,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 01:00 AM,2020,3,2,1,15.4,58,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 02:00 AM,2020,3,2,2,12.2,51,Moderate,9,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 03:00 AM,2020,3,2,3,10.1,42,Good,8,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 04:00 AM,2020,3,2,4,10.5,44,Good,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 05:00 AM,2020,3,2,5,13.2,53,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 06:00 AM,2020,3,2,6,12.1,51,Moderate,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 07:00 AM,2020,3,2,7,12.5,52,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 08:00 AM,2020,3,2,8,14.2,55,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 09:00 AM,2020,3,2,9,18.1,64,Moderate,22,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 10:00 AM,2020,3,2,10,19.5,67,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 11:00 AM,2020,3,2,11,21.2,70,Moderate,23,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 12:00 PM,2020,3,2,12,17.1,62,Moderate,13,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 01:00 PM,2020,3,2,13,13.5,54,Moderate,10,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 02:00 PM,2020,3,2,14,15.2,58,Moderate,17,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 03:00 PM,2020,3,2,15,15.6,58,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 04:00 PM,2020,3,2,16,16.8,61,Moderate,18,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 05:00 PM,2020,3,2,17,14.4,56,Moderate,12,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 06:00 PM,2020,3,2,18,15.7,59,Moderate,17,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 07:00 PM,2020,3,2,19,17.3,62,Moderate,19,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 08:00 PM,2020,3,2,20,18.6,65,Moderate,20,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 09:00 PM,2020,3,2,21,18.3,64,Moderate,18,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 10:00 PM,2020,3,2,22,14.6,56,Moderate,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-03-02 11:00 PM,2020,3,2,23,12.8,52,Moderate,11,UG/M3,1 Hr,Valid
