Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Lima,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,37.4,106,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,117.2,183,Unhealthy,197.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,108.6,178,Unhealthy,100.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,67.8,157,Unhealthy,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,44.4,123,Unhealthy for Sensitive Groups,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,35.2,100,Moderate,26.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,33.1,95,Moderate,31.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,33.5,96,Moderate,34.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,32.2,93,Moderate,31.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,28.1,85,Moderate,24.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,24.5,77,Moderate,21.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,26.7,82,Moderate,29.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,26.8,82,Moderate,27.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,21.9,72,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,17.9,63,Moderate,14.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,17.4,62,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,15.7,59,Moderate,14.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,13.3,54,Moderate,11.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,15.1,57,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,13.5,54,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,15.2,58,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,17.6,63,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,16.8,61,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,16.4,60,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,19.2,66,Moderate,22.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,23.6,75,Moderate,28.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,24.3,77,Moderate,25.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,22.1,72,Moderate,20.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 05:00 AM,2020,01,02,05,19.5,67,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 06:00 AM,2020,01,02,06,17.2,62,Moderate,15.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 07:00 AM,2020,01,02,07,16.6,60,Moderate,16.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 08:00 AM,2020,01,02,08,17.3,62,Moderate,18.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 09:00 AM,2020,01,02,09,17.6,63,Moderate,18.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 10:00 AM,2020,01,02,10,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 11:00 AM,2020,01,02,11,14.6,56,Moderate,12.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 12:00 PM,2020,01,02,12,11.8,49,Good,9.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 01:00 PM,2020,01,02,13,12.4,52,Moderate,13.0,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2020-01-02 02:00 PM,2020,01,02,14,13.2,53,Moderate,14.0,UG/M3,1 Hr,Valid
