Site,Parameter,Date..LT.,Year,Month,Day,Hour,NowCast.Conc.,AQI,AQI.Category,Raw.Conc.,Conc..Unit,Duration,QC.Name
Lima,PM2.5 - Principal,2019-03-01 12:00 AM,2019,3,1,0,27.9,84,Moderate,31,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 01:00 AM,2019,3,1,1,19.4,66,Moderate,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 02:00 AM,2019,3,1,2,18.2,64,Moderate,17,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 03:00 AM,2019,3,1,3,15.1,57,Moderate,12,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 04:00 AM,2019,3,1,4,12.5,52,Moderate,10,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 05:00 AM,2019,3,1,5,11.7,49,Good,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 06:00 AM,2019,3,1,6,11.3,47,Good,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 07:00 AM,2019,3,1,7,10.6,44,Good,10,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 08:00 AM,2019,3,1,8,12.3,51,Moderate,14,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 09:00 AM,2019,3,1,9,14.1,55,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 10:00 AM,2019,3,1,10,17.5,62,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 11:00 AM,2019,3,1,11,16.2,60,Moderate,15,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 12:00 PM,2019,3,1,12,17.6,63,Moderate,19,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 01:00 PM,2019,3,1,13,12.8,52,Moderate,8,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 02:00 PM,2019,3,1,14,10.9,45,Good,9,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 03:00 PM,2019,3,1,15,9.4,39,Good,8,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 04:00 PM,2019,3,1,16,8.7,36,Good,8,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 05:00 PM,2019,3,1,17,8.8,37,Good,9,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 06:00 PM,2019,3,1,18,11.9,50,Good,15,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 07:00 PM,2019,3,1,19,16.4,60,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 08:00 PM,2019,3,1,20,23.2,74,Moderate,30,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 09:00 PM,2019,3,1,21,22.6,73,Moderate,22,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 10:00 PM,2019,3,1,22,19.3,66,Moderate,16,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-01 11:00 PM,2019,3,1,23,20.1,68,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-02 12:00 AM,2019,3,2,0,20.5,69,Moderate,21,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-02 01:00 AM,2019,3,2,1,15.7,59,Moderate,11,UG/M3,1 Hr,Valid
Lima,PM2.5 - Principal,2019-03-02 02:00 AM,2019,3,2,2,13.3,54,Moderate,11,UG/M3,1 Hr,Valid
